,name,html_url,description,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,license,topics,default_branch
22,notebook,https://github.com/jupyter/notebook,Jupyter Interactive Notebook,https://jupyter-notebook.readthedocs.io/,32265,9366,9366,Jupyter Notebook,3886,2044,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}","['closember', 'jupyter', 'jupyter-notebook', 'notebook']",main
23,nbconvert,https://github.com/jupyter/nbconvert,Jupyter Notebook Conversion,https://nbconvert.readthedocs.io/,4697,1380,1380,Python,498,452,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],main
24,jupyter_console,https://github.com/jupyter/jupyter_console,Jupyter Terminal Console,http://jupyter-console.readthedocs.io/en/latest/,399,202,202,Python,139,56,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],main
25,qtconsole,https://github.com/jupyter/qtconsole,Jupyter Qt Console,https://qtconsole.readthedocs.io/en/stable/,2113,330,330,Python,180,100,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}","['jupyter', 'qt-console']",master
26,jupyter_logger,https://github.com/jupyter/jupyter_logger,Allows you to log Jupyter notebook user events anonymously.,,72,5,5,TypeScript,14,3,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
27,jupyter_kernel_test,https://github.com/jupyter/jupyter_kernel_test,A tool for testing Jupyter kernels,,166,51,51,Python,34,8,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],main
28,jupyter,https://github.com/jupyter/jupyter,"Jupyter metapackage for installation, docs and chat",https://jupyter.readthedocs.io/,6330,13721,13721,Python,3517,203,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
29,ngcm-tutorial,https://github.com/jupyter/ngcm-tutorial,"Materials for the IPython/Jupyter workshop at the NGCM Summer Academy, at Southampton University, Boldrewood campus.",,19678,45,45,Jupyter Notebook,33,5,,[],master
30,scipy-advanced-tutorial,https://github.com/jupyter/scipy-advanced-tutorial,Advance Tutorial For SciPy,,694,73,73,JavaScript,36,2,,[],master
31,docker-stacks,https://github.com/jupyter/docker-stacks,Ready-to-run Docker images containing Jupyter applications,https://jupyter-docker-stacks.readthedocs.io,4704,6854,6854,Python,2774,39,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}","['docker', 'ipython', 'ipython-notebook', 'jupyter', 'jupyter-notebook', 'jupyter-notebooks', 'jupyterhub', 'jupyterlab', 'notebook', 'python']",main
32,lbnl-jupyterday,https://github.com/jupyter/lbnl-jupyterday,"Materials for the Jupyter workshop at LBNL, 17 July 2015",,39432,4,4,Python,12,2,,[],master
33,atom-notebook,https://github.com/jupyter/atom-notebook,"[Deprecated] Jupyter Notebook, but inside Atom.",,88,310,310,JavaScript,56,74,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",[],master
34,enhancement-proposals,https://github.com/jupyter/enhancement-proposals,Enhancement proposals for the Jupyter Ecosystem,https://jupyter.org/enhancement-proposals,4780,97,97,Python,53,37,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}","['jupyter', 'proposal']",master
35,governance,https://github.com/jupyter/governance,The governance process and model for Project Jupyter,https://jupyter.org/governance/index.html,3377,72,72,,64,34,"{'key': 'cc0-1.0', 'name': 'Creative Commons Zero v1.0 Universal', 'spdx_id': 'CC0-1.0', 'url': 'https://api.github.com/licenses/cc0-1.0', 'node_id': 'MDc6TGljZW5zZTY='}",['jupyter'],master
36,jupyter-blog-theme,https://github.com/jupyter/jupyter-blog-theme,Backup of blog.jupyter.org,https://blog.jupyter.org,2369,2,2,CSS,14,2,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
37,cdn.jupyter.org,https://github.com/jupyter/cdn.jupyter.org,Assets and layout for cdn.jupyter.org,,9,6,6,Python,11,1,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
38,roadmap,https://github.com/jupyter/roadmap,Master roadmap for Project Jupyter,,98,83,83,,35,3,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
39,mozfest15-training,https://github.com/jupyter/mozfest15-training,Notebooks for Jupyter training session at Mozfest 2015,,176,13,13,Jupyter Notebook,16,0,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
40,nbdime,https://github.com/jupyter/nbdime,Tools for diffing and merging of Jupyter notebooks.,http://nbdime.readthedocs.io,5380,2288,2288,Python,146,70,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}","['diff', 'diffing', 'git', 'hg', 'jupyter', 'jupyter-notebook', 'jupyterlab-extension', 'mercurial', 'merge', 'merge-driver', 'mergetool', 'vcs', 'version-control']",master
41,kernel_gateway_demos,https://github.com/jupyter/kernel_gateway_demos,Demos associated with the kernel gateway incubator project,,326,139,139,Jupyter Notebook,79,7,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
42,newsletter,https://github.com/jupyter/newsletter,A repo for collecting content for the Jupyter Newsletter,,3333,13,13,Jupyter Notebook,13,4,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
43,jupyter-sphinx-theme,https://github.com/jupyter/jupyter-sphinx-theme,A Sphinx theme for Jupyter and IPython documentation,,2068,21,21,HTML,19,5,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}",[],master
44,help,https://github.com/jupyter/help,:sparkles: Need some help or have some questions? Please visit our Discourse page.,https://discourse.jupyter.org,366,294,294,,100,325,,[],master
45,surveys,https://github.com/jupyter/surveys,Surveys and datasets collected by Project Jupyter,,8451,18,18,Jupyter Notebook,35,6,"{'key': 'cc0-1.0', 'name': 'Creative Commons Zero v1.0 Universal', 'spdx_id': 'CC0-1.0', 'url': 'https://api.github.com/licenses/cc0-1.0', 'node_id': 'MDc6TGljZW5zZTY='}",[],master
46,experiments,https://github.com/jupyter/experiments,,,1,2,2,,8,0,,[],master
47,jupyter-sprints,https://github.com/jupyter/jupyter-sprints,Resources for running a sprint,,11,5,5,HTML,11,0,"{'key': 'cc0-1.0', 'name': 'Creative Commons Zero v1.0 Universal', 'spdx_id': 'CC0-1.0', 'url': 'https://api.github.com/licenses/cc0-1.0', 'node_id': 'MDc6TGljZW5zZTY='}",[],master
48,scipy-sprint,https://github.com/jupyter/scipy-sprint,Sprint organization and planning,,19,3,3,HTML,6,0,"{'key': 'cc0-1.0', 'name': 'Creative Commons Zero v1.0 Universal', 'spdx_id': 'CC0-1.0', 'url': 'https://api.github.com/licenses/cc0-1.0', 'node_id': 'MDc6TGljZW5zZTY='}",[],master
49,kernels,https://github.com/jupyter/kernels,Kernel testing and listing infrastructure,,4,15,15,Python,13,11,"{'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}",[],master
50,jupyter-sphinx,https://github.com/jupyter/jupyter-sphinx,Sphinx extension for rendering of Jupyter interactive widgets.,https://jupyter-sphinx.readthedocs.io/,751,155,155,Python,55,42,"{'key': 'bsd-3-clause', 'name': 'BSD 3-Clause ""New"" or ""Revised"" License', 'spdx_id': 'BSD-3-Clause', 'url': 'https://api.github.com/licenses/bsd-3-clause', 'node_id': 'MDc6TGljZW5zZTU='}","['jupyter', 'sphinx-extension']",master
